,price,condition,price_rank
0,60.0,new,1.0
1,62.11,new,2.0
2,62.31,new,3.0
3,66.32,new,4.0
4,70.04,new,5.0
5,70.69,new,6.0
6,72.0,new,7.0
7,74.25,new,8.0
8,75.06,new,9.0
9,75.2,new,10.0
10,76.12,new,11.0
11,76.29,new,12.0
12,78.0,new,13.0
13,79.46,new,14.0
14,80.0,new,15.0
15,81.2,new,16.0
16,83.9,new,17.0
17,85.99,new,18.0
18,87.25,new,19.0
19,88.0,new,20.0
20,43.34,acceptable,1.0
21,43.35,acceptable,2.0
22,43.35,acceptable,2.0
23,44.73,acceptable,3.0
24,49.4,acceptable,4.0
25,43.33,good,1.0
26,43.33,good,1.0
27,43.34,good,2.0
28,43.35,good,3.0
29,43.35,good,3.0
30,43.42,good,4.0
31,46.47,good,5.0
32,46.47,good,5.0
33,46.47,good,5.0
34,46.5,good,6.0
35,48.05,good,7.0
36,49.85,good,8.0
37,49.89,good,9.0
38,49.89,good,9.0
39,50.19,good,10.0
40,50.19,good,10.0
41,51.9,good,11.0
42,51.99,good,12.0
43,43.58,like new,1.0
44,43.82,like new,2.0
45,43.58,like_new,1.0
46,43.82,like_new,2.0
47,43.36,very good,1.0
48,47.2,very good,2.0
49,47.2,very good,2.0
50,49.89,very good,3.0
51,49.96,very good,4.0
52,50.0,very good,5.0
53,54.99,very good,6.0
54,43.36,very_good,1.0
55,47.2,very_good,2.0
56,49.89,very_good,3.0
57,49.96,very_good,4.0
58,50.0,very_good,5.0
59,54.5,very_good,6.0
